Fecha,Obrador Kiteni,PS#1,KP 007+400,KP 018+000,KP 030+000,KP 040+000,KP 043+600,KP 046+100,KP 050+000,KP 057+000,KP 064+000,KP 071+000,KP 082+000,KP 090+000,KP 095+000,PS#2,KP 184+039,PS#3,PS#4/XV10007,Mes,KP 127+000,KP 181+900,KP 142+000,Ruptura
2023-05-03,1.0,40.4,62.0,30.0,49.2,22.0,0,24.5,29.0,58.400000000000006,17.0,19.0,13.4,0.0,0.0,0.3,0,3.56,0.11,2023-05,,,,0
2023-05-04,5.08,60.4,15.0,36.0,58.4,52.0,0,75.5,101.0,62.5,15.6,13.0,0.0,0.0,0.0,10.5,0,0.0,0.0,2023-05,,,,0
2023-05-05,10.16,16.5,4.0,20.0,52.400000000000006,64.0,0,44.0,32.5,30.5,28.0,36.0,20.0,0.0,0.0,43.9,0,0.0,0.0,2023-05,,,,0
2023-05-06,1.2,19.3,32.0,60.0,72.4,51.0,0,38.5,24.5,8.2,12.0,10.0,6.0,0.0,0.0,0.7,0,6.61,0.65,2023-05,,,,0
2023-05-07,3.6,25.0,30.4,35.0,30.0,24.0,0,23.5,26.0,31.7,18.7,9.0,13.0,0.0,0.0,10.6,0,4.06,0.8,2023-05,,,,0
2023-05-08,5.5,54.0,30.2,27.5,16.599999999999998,14.0,0,16.0,14.0,18.6,17.0,12.0,35.0,0.0,0.0,26.0,0,5.9399999999999995,5.9399999999999995,2023-05,,,,0
2023-05-09,4.0,3.1,20.5,10.5,5.0,7.0,0,7.5,9.0,9.4,18.0,9.0,15.0,0.0,0.0,14.3,0,4.6,3.5,2023-05,,,,0
2023-05-10,0.0,12.4,18.5,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0,22.86,0.0,2023-05,,,,0
2023-05-11,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0,0.0,0.0,2023-05,,,,0
2023-05-12,0.0,0.0,0.0,0.0,0.0,6.0,0,0.0,2.1,1.3,0.0,0.0,4.0,0.0,0.0,3.0,0,3.48,0.12,2023-05,,,,0
2023-05-13,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2023-05,,,,0
2023-05-14,0.0,0.0,0.0,0.0,0.0,13.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.2,2023-05,,,,0
2023-05-15,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0,0.0,0.2,2023-05,,,,0
2023-05-16,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2023-05,,,,0
2023-05-17,0.0,1.0,2.0,9.3,12.0,9.0,0,6.0,21.0,24.0,2.0,0.0,0.0,0.0,0.0,0.2,0,0.0,0.0,2023-05,,,,0
2023-05-18,0.0,6.2,11.0,20.0,6.0,11.0,0,14.0,19.1,22.0,18.0,4.3,2.0,0.0,0.0,0.0,0,0.0,0.0,2023-05,,,,0
2023-05-19,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,8.2,14.0,0.0,0.0,5.0,0.0,0.0,12.4,0,0.0,0.0,2023-05,,,,0
2023-05-20,0.0,43.0,74.69999999999999,21.0,2.0,0.7,0,1.0,5.3,4.0,3.2,7.3,3.0,0.0,0.0,6.2,0,0.0,0.0,2023-05,,,,0
2023-05-21,0.0,5.5,36.0,31.0,7.2,3.3,0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2023-05,,,,0
2023-05-22,0.0,23.5,4.1,2.0,0.0,4.4,0,2.0,4.3,10.399999999999999,0.0,0.0,10.0,0.0,0.0,0.4,0,0.0,0.0,2023-05,,,,0
2023-05-23,0.4,74.2,59.0,50.0,59.2,36.0,0,36.5,57.1,56.0,22.2,11.4,5.0,0.0,0.0,12.0,0,0.0,0.0,2023-05,,,,0
