Fecha,Obrador Kiteni,PS#1,KP-7+400,KP 018+000,KP 030+000,KP 040+000,KP 043+600,KP 046+100,KP 050+000,KP 057+000,KP 064+000,KP 071+000,KP 082+000,KP 090+000,KP 095+000,PS#2,KP 142+000,KP-181+900,KP 184+039,PS#3,PS#4/XV10007,Mes,Ruptura
2021-04-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-04,0
2021-04-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-04,0
2021-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-05,0
2021-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2021-05,0
2021-05-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-05,0
2021-05-03,0.0,0.0,0.0,0.0,6.0,8.3,6.2,12.2,4.0,8.04,8.0,0.3,0.4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2021-05,0
2021-05-04,0.0,0.0,0.3,9.6,6.8,28.9,33.3,37.699999999999996,58.0,39.2,25.0,10.2,12.0,5.1,18.0,39.4,1.3,0.0,0.0,0.0,0.0,2021-05,0
2021-05-05,0.0,0.0,0.8999999999999999,22.2,10.2,28.5,16.8,34.7,20.0,12.4,2.0,0.0,0.5,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,2021-05,0
2021-05-06,0.0,23.8,17.0,18.2,8.6,24.5,18.8,25.6,14.0,17.2,4.0,11.0,8.0,2.1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-05,0
2021-05-07,0.0,0.3,0.5,3.6,6.3,8.5,14.3,14.4,18.0,65.2,25.0,4.0,6.0,0.0,0.0,2.8,0.0,0.0,0.0,0.0,0.0,2021-05,0
2021-05-08,0.0,2.6,0.3,0.0,4.4,2.2,4.9,7.3,20.0,12.0,14.0,10.0,3.2,1.1,0.0,0.0,4.2,0.0,0.0,2.0,2.0,2021-05,0
2021-05-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-05,0
